model_name,num_samples_full,functional_pass_rate_full,branch_count_full,ssi_full,pssi_full,sds_full,num_samples_restricted,functional_pass_rate_restricted,branch_count_restricted,ssi_restricted,pssi_restricted,sds_restricted,num_samples_difference,functional_pass_rate_difference,branch_count_difference,ssi_difference,pssi_difference,sds_difference
claude_model,4100,0.9441463414634146,1.246829268292683,0.9525914424914368,0.2209579759112169,0.1937192257376488,4100,0.9441463414634146,1.246829268292683,0.9525914424914367,0.22095797591121696,0.19371922573764883,0,0.0,0.0,-1.1102230246251565e-16,5.551115123125783e-17,2.7755575615628914e-17
deepseek_model,4100,0.9148780487804878,1.3039024390243903,0.8872261022287607,0.2580778279343431,0.2646049652132126,4100,0.9148780487804878,1.3039024390243903,0.8872261022287607,0.25807782793434314,0.26460496521321264,0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17
gpt5_model,4100,0.896829268292683,3.4267905157663163,0.5485187091937366,0.702483164865042,0.8667077607094994,4081,0.9005145797598628,3.334970530451866,0.5503755140848292,0.6998544831309323,0.8553676524089131,-19,0.003685311467179875,-0.09181998531445013,0.0018568048910926338,-0.0026286817341096835,-0.011340108300586293
