scope,n_paired_problems,instruction_pssi_mean,paraphrase_pssi_mean,reduction_percent,mean_difference_paraphrase_minus_instruction,mean_difference_ci_low,mean_difference_ci_high,median_difference,wilcoxon_statistic,p_value,paired_rank_biserial,holm_adjusted_p
overall_problem_mean,164,0.9107571938478988,0.39383965623686734,56.756898666601074,-0.5169175376110314,-0.566446813070168,-0.4681722060073942,-0.4773470405192977,41.0,2.448663530265052e-28,-0.9939393939393939,9.794654121060207e-28
claude_model,164,0.8754724052521857,0.22095797591121696,74.76128606845485,-0.6545144293409689,-0.7458016552488119,-0.5695911948158617,-0.6004674420473267,189.0,7.888496949328731e-27,-0.9713701431492843,2.3665490847986193e-26
deepseek_model,164,0.717563226950237,0.25807782793434314,64.03413410254915,-0.4594853990158938,-0.5545524129061307,-0.3596891991913327,-0.453574496836441,1353.0,1.6784071339945407e-18,-0.795046580322654,1.6784071339945407e-18
gpt5_model,164,1.1392359493412736,0.702483164865042,38.33734220981788,-0.4367527844762315,-0.514654886998464,-0.36289313164604786,-0.37340675653516103,917.0,7.858585188838483e-22,-0.864449371766445,1.5717170377676966e-21
