scope,n_paired_problems,instruction_pssi_mean,paraphrase_pssi_mean,reduction_percent,mean_difference_paraphrase_minus_instruction,mean_difference_ci_low,mean_difference_ci_high,median_difference,wilcoxon_statistic,p_value,paired_rank_biserial,holm_adjusted_p
overall_problem_mean,164,0.9139134295473209,0.39175656296344696,57.13417154210202,-0.5221568665838738,-0.5716088009015926,-0.4732284140042548,-0.47848347346604725,28.0,1.9304792372204412e-28,-0.9958610495195861,7.721916948881765e-28
claude_model,164,0.8762004770026834,0.2200052583877654,74.89099079923331,-0.6561952186149183,-0.7467406398076251,-0.5709980886820587,-0.6069598644336436,185.0,7.337792902496475e-27,-0.9719760660455957,2.2013378707489424e-26
deepseek_model,164,0.7187470451396433,0.2575045065572281,64.17313875604201,-0.4612425385824152,-0.556789283593594,-0.3610441337149573,-0.4482433939942593,1342.0,1.4250085137466724e-18,-0.7967128682875104,1.4250085137466724e-18
gpt5_model,164,1.1467927664996358,0.6977599239453476,39.15553495553295,-0.44903284255428816,-0.5279745509899841,-0.3740539138054179,-0.38266008570353316,851.0,2.7298562508709854e-22,-0.8742054693274205,5.459712501741971e-22
