group_type,group_name,metric,n_problems,mean,ci_low,ci_high
prompt,paraphrase_a,ssi,164,0.7881288168491587,0.771327770207619,0.8042793018080455
prompt,paraphrase_b,ssi,164,0.8020924866933898,0.7849089192370999,0.8187236731023841
prompt,paraphrase_c,ssi,164,0.7916564747215226,0.7749892045744686,0.8082480808047268
prompt,paraphrase_d,ssi,164,0.8060326248707717,0.7890404813156131,0.8225583379857255
prompt,paraphrase_e,ssi,164,0.792650020055047,0.775261041593122,0.808871779426461
prompt,paraphrase_a,human_eval_plus_pass_rate,164,0.9207317073170732,0.8857723577235771,0.9524390243902439
prompt,paraphrase_b,human_eval_plus_pass_rate,164,0.9211382113821138,0.8849593495934959,0.9528455284552845
prompt,paraphrase_c,human_eval_plus_pass_rate,164,0.9146341463414634,0.8792682926829267,0.9467479674796747
prompt,paraphrase_d,human_eval_plus_pass_rate,164,0.9174796747967479,0.8829268292682928,0.9479674796747968
prompt,paraphrase_e,human_eval_plus_pass_rate,164,0.9191056910569105,0.8841463414634146,0.9508130081300813
