model_name,ast_success_rate_full,functional_pass_rate_full,ssi_full,pssi_full,sds_full,ast_success_rate_no_truncation,functional_pass_rate_no_truncation,ssi_no_truncation,pssi_no_truncation,sds_no_truncation,ast_success_rate_difference,functional_pass_rate_difference,ssi_difference,pssi_difference,sds_difference
claude_model,1.0,0.9441463414634146,0.9525914424914368,0.2209579759112169,0.1937192257376488,1.0,0.9441463414634146,0.9525914424914367,0.22095797591121696,0.19371922573764883,0.0,0.0,-1.1102230246251565e-16,5.551115123125783e-17,2.7755575615628914e-17
deepseek_model,1.0,0.9148780487804878,0.8872261022287607,0.2580778279343431,0.2646049652132126,1.0,0.916218856863703,0.8881378527265811,0.24720567735468657,0.2582142437056839,0.0,0.0013408080832151281,0.0009117504978203295,-0.010872150579656514,-0.006390721507528674
gpt5_model,0.9978048780487804,0.896829268292683,0.5485187091937366,0.702483164865042,0.8667077607094994,0.9978048780487805,0.896829268292683,0.5485187091937366,0.702483164865042,0.8667077607094994,1.1102230246251565e-16,0.0,0.0,0.0,0.0
