model_name,model_id,provider,num_samples,ast_success_rate,functional_pass_rate,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,ssi,avg_repeat_distance,pssi,sds,structural_variance
claude_model,claude-sonnet-4-6,anthropic,4100,1.0,0.9829268292682927,9.196341463414635,1.3131707317073171,0.7192682926829268,1.1060975609756099,0.058686411951219514,0.9528981287730421,0.08822012230952052,0.875472405252186,0.6406535707196138,0.15219961851255995
deepseek_model,deepseek-chat,deepseek,4100,1.0,0.9209756097560976,9.17780487804878,1.5578048780487805,0.7670731707317073,1.09,0.06154100756097561,0.8734064569408134,0.23380780564823006,0.7175632269502369,0.5762547634949665,0.1303713853587765
gpt5_model,gpt-5-mini,openai,4100,0.9968292682926829,0.9658536585365853,9.329092243699534,3.602153168583313,1.0986053339858086,1.1634450697333008,0.06037621384878884,0.5412607367950348,1.1192981098605015,1.1392359493412734,1.094714474860917,0.40148889038016233
