prompt_name,cosine_ssi,euclidean_ssi,manhattan_ssi,cosine_avg_distance,euclidean_avg_distance,manhattan_avg_distance
basic,0.9273170664873868,0.7922703558536897,0.7552522958773182,0.1031139244200032,0.4571494029440441,0.6900828123643199
concise,0.9363751278263833,0.8208398957492535,0.7904540467286089,0.09029362230162301,0.39530105404686383,0.5954967346603134
constraint,0.9228485344862591,0.7704621114257993,0.7301152462711338,0.10634052758912399,0.5345677620652313,0.81885538426648
optimized,0.9254747431592841,0.788331425147147,0.7531391737110728,0.10613419520362212,0.49432869478213015,0.7578109905666105
readable,0.9158196477503705,0.7735718755816631,0.7341450458585506,0.11944985912896257,0.521949669033747,0.7863487710253124
