model_name,model_id,provider,num_passed_ast_samples,ast_depth,branch_count,loop_count,function_count,control_flow_ratio
claude_model,claude-sonnet-4-6,anthropic,4030,9.194789081885856,1.3009925558312656,0.7009925558312655,1.1014888337468982,0.05885269900744417
deepseek_model,deepseek-chat,deepseek,3776,9.139830508474576,1.5227754237288136,0.7492055084745762,1.08448093220339,0.061901532309322035
gpt5_model,gpt-5-mini,openai,3960,9.304040404040403,3.590909090909091,1.093939393939394,1.1532828282828282,0.06073989974747475
