model_name,model_id,provider,groups,mean_passed_samples_per_group,ast_depth_std,branch_count_std,loop_count_std,function_count_std,control_flow_ratio_std
claude_model,claude-sonnet-4-6,anthropic,812,4.963054187192118,0.05120320845376904,0.03509424063678016,0.025341117530831778,0.001970443349753695,0.0008433064052184105
deepseek_model,deepseek-chat,deepseek,770,4.903896103896104,0.12929706829839802,0.12088764578559788,0.04405868422300092,0.007146372139691073,0.0023794830893371097
gpt5_model,gpt-5-mini,openai,811,4.882860665844636,0.565516533430192,0.7557352270684399,0.27418597266844963,0.062052802239733654,0.008953606822963317
