model_name,model_id,provider,num_samples,ast_success_rate,functional_pass_rate,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,ssi,avg_repeat_distance,pssi,sds,structural_variance,functional_pass_rate_rank,ast_success_rate_rank,ssi_rank,pssi_rank,sds_rank,structural_variance_rank,legacy_metric_samples,loc,sloc,comments,blank,cc_avg,cc_max,cc_sum,halstead_volume,halstead_difficulty,halstead_effort,halstead_vocabulary,halstead_length,halstead_bugs,maintainability_index,token_length
claude_model,claude-sonnet-4-6,anthropic,4100,1.0,0.9829268292682928,9.196341463414637,1.3131707317073171,0.7192682926829268,1.10609756097561,0.0586864119512195,0.952898128773042,0.0882201223095205,0.875472405252186,0.6406535707196138,0.1521996185125599,1.0,1.0,1.0,2.0,2.0,2.0,4100,11.622439024390244,8.112195121951219,0.2631707317073171,1.2890243902439025,3.6598780487804876,3.6995121951219514,3.7712195121951217,47.16320831954844,2.0775946565911005,171.63606978666246,9.038780487804878,12.737317073170733,0.01572106943984948,77.79267127736665,44.1490243902439
deepseek_model,deepseek-chat,deepseek,4100,1.0,0.9209756097560976,9.17780487804878,1.5578048780487803,0.7670731707317073,1.09,0.0615410075609756,0.8734064569408134,0.23380780564823,0.7175632269502369,0.5762547634949665,0.1303713853587765,3.0,1.0,2.0,1.0,1.0,1.0,4100,11.93658536585366,8.756829268292682,0.18853658536585366,0.6697560975609756,3.8554878048780488,3.8853658536585365,3.934390243902439,56.849997271343426,2.4526711972920388,238.95304293286415,9.914878048780487,14.899268292682926,0.018949999090447808,76.25149040786285,46.68853658536585
gpt5_model,gpt-5-mini,openai,4100,0.9968292682926828,0.9658536585365852,9.329092243699534,3.602153168583313,1.0986053339858086,1.1634450697333008,0.0603762138487888,0.5412607367950348,1.1192981098605017,1.1392359493412734,1.094714474860917,0.4014888903801623,2.0,3.0,3.0,3.0,3.0,3.0,4087,28.616099828725226,17.81306581844874,3.7306092488377782,2.511377538536824,5.467036402686023,5.604355272816247,5.7330560313188155,113.46808081410319,3.438281751036839,664.6973056808595,16.251529239050647,25.24247614387081,0.037822693604701065,84.26839736315866,132.8370442867629
