model_name,legacy_metric_samples,loc,sloc,comments,blank,cc_avg,cc_max,cc_sum,halstead_volume,halstead_difficulty,halstead_effort,halstead_vocabulary,halstead_length,halstead_bugs,maintainability_index,token_length
claude_model,4100,11.622439024390244,8.112195121951219,0.2631707317073171,1.2890243902439025,3.6598780487804876,3.6995121951219514,3.7712195121951217,47.16320831954844,2.0775946565911005,171.63606978666246,9.038780487804878,12.737317073170733,0.01572106943984948,77.79267127736665,44.1490243902439
deepseek_model,4100,11.93658536585366,8.756829268292682,0.18853658536585366,0.6697560975609756,3.8554878048780488,3.8853658536585365,3.934390243902439,56.849997271343426,2.4526711972920388,238.95304293286415,9.914878048780487,14.899268292682926,0.018949999090447808,76.25149040786285,46.68853658536585
gpt5_model,4087,28.616099828725226,17.81306581844874,3.7306092488377782,2.511377538536824,5.467036402686023,5.604355272816247,5.7330560313188155,113.46808081410319,3.438281751036839,664.6973056808595,16.251529239050647,25.24247614387081,0.037822693604701065,84.26839736315866,132.8370442867629
