problem_id,task_id,problem_label,problem_complexity,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,functional_pass_rate,ssi,pssi,sds,structural_variance
humaneval_000,HumanEval/0,HE-0,14.523670413333333,10.293333333333333,1.84,1.32,1.0,0.07033708000000001,1.0,0.7957582792174407,0.5784927523797573,0.4909190511701736,0.07062510273045376
humaneval_001,HumanEval/1,HE-1,16.320545346666666,10.426666666666666,3.8133333333333335,1.0266666666666666,1.0,0.05387868,1.0,0.7372973672592931,0.6890887316122777,0.6219051046641699,0.09933476328652784
humaneval_002,HumanEval/2,HE-2,8.794572026666666,6.8933333333333335,0.8,0.04,1.0,0.06123869333333334,1.0,0.8176306665037875,0.6351918636452257,0.5852745901042113,0.09711168592750774
humaneval_003,HumanEval/3,HE-3,10.614566400000001,7.28,1.24,1.0,1.0,0.0945664,1.0,0.8456200295503072,0.3968523166713291,0.379903476586627,0.10417704662794512
humaneval_004,HumanEval/4,HE-4,12.090181826666667,9.16,1.2266666666666666,0.6666666666666666,1.0,0.036848493333333336,1.0,0.8153536687569399,1.284401830778375,0.9416873419938178,0.20332221738282866
humaneval_005,HumanEval/5,HE-5,12.601008106666667,8.773333333333333,1.88,0.8933333333333333,1.0,0.05434144,1.0,0.7952345484379281,0.4529647233622896,0.40814535889143766,0.05422848704184854
humaneval_006,HumanEval/6,HE-6,16.323358946666666,9.44,3.8133333333333335,1.8666666666666667,1.1333333333333333,0.07002561333333333,1.0,0.890108231254659,0.7164741927737577,0.5999593849335427,0.1441226098405868
humaneval_007,HumanEval/7,HE-7,10.751976586666666,8.333333333333334,1.0266666666666666,0.3466666666666667,1.0,0.045309920000000004,1.0,0.8505912936735531,0.9012400403910164,0.7418418112276431,0.15110318072627787
humaneval_008,HumanEval/8,HE-8,9.451204453333332,7.2,0.38666666666666666,0.8266666666666667,1.0,0.03787112,1.0,0.8796482638475053,0.655974610861995,0.5500932322973473,0.07666170730933701
humaneval_009,HumanEval/9,HE-9,11.884578066666666,8.04,1.76,1.0266666666666666,1.0,0.057911399999999995,1.0,0.8824378101194268,0.4037824973083322,0.3278309312187137,0.04756003249181167
humaneval_010,HumanEval/10,HE-10,15.866171533333333,10.32,2.28,1.2,2.0,0.06617153333333334,0.9733333333333334,0.8038401916615443,0.4360200204037457,0.4213627897385969,0.04670436683818646
humaneval_011,HumanEval/11,HE-11,12.82740884,9.053333333333333,1.88,0.84,1.0,0.05407550666666667,1.0,0.8379770751991578,0.8718524133510678,0.6455578156477851,0.12865889988201207
humaneval_012,HumanEval/12,HE-12,12.001979053333333,8.493333333333334,1.76,0.68,1.0,0.06864572000000001,1.0,0.8400762805490838,0.9422280836068597,0.7471385502256215,0.15329860354697297
