problem_id,task_id,problem_label,sds,structural_variance,success_rate
humaneval_081,HumanEval/81,HE-81,2.3115416840244927,1.7094547776477527,0.9199999999999999
humaneval_129,HumanEval/129,HE-129,2.1835063263233008,1.4089724900980445,0.8799999999999999
humaneval_064,HumanEval/64,HE-64,1.9798000705464822,2.662867615461089,0.9466666666666667
humaneval_032,HumanEval/32,HE-32,1.764554413720462,1.2401991439729227,0.6666666666666666
humaneval_052,HumanEval/52,HE-52,1.6176090530451106,0.6200072475718348,1.0
humaneval_151,HumanEval/151,HE-151,1.4763430389840113,0.5145366834243303,1.0
humaneval_027,HumanEval/27,HE-27,1.4535710756052314,0.45567530338489526,0.9866666666666667
humaneval_140,HumanEval/140,HE-140,1.4310067558210495,0.49646489200571664,0.8933333333333334
humaneval_095,HumanEval/95,HE-95,1.3523722019139326,0.46235469466968143,1.0
humaneval_096,HumanEval/96,HE-96,1.3417872358119245,0.42725188825078514,1.0
