model_name,model_id,provider,num_samples,ast_success_rate,functional_pass_rate,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,ssi,avg_repeat_distance,pssi,sds,structural_variance
claude_model,claude-sonnet-4-6,anthropic,4100,1.0,0.9441463414634146,9.354878048780488,1.246829268292683,0.624390243902439,1.1078048780487806,0.05820701512195122,0.9525914424914367,0.09654960878101179,0.22095797591121696,0.19371922573764883,0.04273685509687597
deepseek_model,deepseek-flash,deepseek,4100,1.0,0.9148780487804878,9.232439024390244,1.3039024390243903,0.6197560975609756,1.0760975609756098,0.059634980000000004,0.8872261022287607,0.22470985199334817,0.25807782793434314,0.26460496521321264,0.07837926388929214
gpt5_model,gpt-5-mini,openai,4100,0.9978048780487805,0.896829268292683,9.27963823026155,3.4267905157663163,1.0092886824737228,1.1530188218039599,0.0611592295282327,0.5485187091937366,1.0762863342927236,0.702483164865042,0.8667077607094994,0.2787306952618145
